0.8800	0.9933	0.9867	0.8767	1	1	0	0	1	1
0.7600	1.0000	0.9900	0.9900	1	1	1	1	1	0
0.8594	0.8311	0.8594	0.8405	1	0	1	1	0	1
0.6955	0.7255	0.6955	0.7321	1	0	1	1	0	1
0.8995	0.9497	0.9377	0.9628	1	1	1	1	1	1
0.7471	0.9043	0.8683	0.9140	1	1	1	1	0	1
0.8667	0.8667	0.8333	0.8667	0	1	0	1	0	0
0.8786	0.8347	0.8786	0.9241	1	0	1	1	1	1
0.5753	0.7260	0.7123	0.7397	1	0	1	0	0	0
0.7541	0.8689	0.8689	0.8361	0	0	0	0	0	0
0.9553	0.9504	0.9553	0.9602	0	0	0	0	0	0
0.9133	0.9067	0.9133	0.9800	0	0	1	0	1	1
0.7841	0.8295	0.8864	0.7614	0	1	0	0	0	1
0.7967	0.7677	0.7967	0.9303	0	0	1	0	1	1
0.8800	0.7700	0.8800	0.8500	1	0	0	1	1	0
0.9346	0.9673	0.9346	0.9575	1	0	1	1	0	1
0.7500	0.8214	0.8214	0.7500	0	0	0	0	1	1
0.8522	0.9967	0.9944	0.9811	1	1	1	0	1	1
0.5333	0.5000	0.5333	0.5000	1	0	1	0	0	1
0.7829	0.8343	0.8286	0.9029	0	0	1	0	0	1
0.5165	0.5909	0.6198	0.6942	1	1	1	0	1	1
0.6176	0.6489	0.7429	0.7194	0	1	1	1	1	0
0.6205	0.7923	0.8205	0.7897	1	1	1	0	0	0
0.6113	0.6036	0.6087	0.6394	0	0	0	0	0	0
0.6842	0.7368	0.7461	0.7750	1	1	1	0	1	0
0.7888	0.7920	0.8480	0.8512	0	1	1	1	1	0
0.5744	0.7769	0.7641	0.7077	1	1	1	0	1	1
0.6436	0.7923	0.8026	0.7846	1	1	1	0	0	0
0.3701	0.3766	0.4156	0.4351	0	0	1	0	0	0
0.7693	0.9049	0.9127	0.9176	1	1	1	1	1	0
0.6110	0.6703	0.7363	0.7187	1	1	1	1	1	0
0.8971	0.6507	0.9304	0.7312	1	1	1	1	1	1
0.3418	0.3836	0.3873	0.4273	0	0	1	0	1	1
0.7136	0.8077	0.8172	0.7882	1	1	1	0	1	1
0.9143	0.9339	0.9143	0.9181	1	0	1	1	1	1
0.6500	0.6484	0.6500	0.6490	0	0	1	0	0	1
0.8303	0.8363	0.8417	0.8447	0	0	1	0	0	0
0.9067	1.0000	0.9972	1.0000	1	1	1	1	0	1
0.9955	0.9799	0.9956	0.9787	1	0	1	1	0	1
0.7393	0.7275	0.7744	0.7515	0	1	0	1	1	1
